"source_uid"	"sentno"	"latin"	"english"	"korean"	"cefr_level"	"difficulty_score"	"domain"	"topic"	"genre"	"speech_act"	"register"	"context_dependency"	"processing_flags"	"enrichment_state"
"madoran-s6-sentno-1217"	"1217"	"whran baghmi bwrmiir fil alli 3rfwa shwala arshitaktir 3tmania . w hi bwrmiir fil ali kant fiha wzin bastws alm3rwf . whran 7ia kbira z ki tbghi t7ki , a7ki fri ."	"The speaker praises Oran as a premier city with Ottoman architecture and mentions the well-known Wahrani figure or building called Bastos, then says that Oran is alive and should be described freely."	"화자는 오랑을 오스만 건축이 있는 뛰어난 도시로 칭찬하고 잘 알려진 와흐라니 인물이나 건축물인 바스토스를 언급한 뒤, 오랑은 살아 있는 도시이므로 자유롭게 이야기해야 한다고 말해요."	"C1"	"84"	"history"	"praising_oran_and_ottoman_architecture"	"expository"	"opinion"	"mixed"	"high"	"idiom_culture|long_source|source_ambiguity"	"flagged"
"madoran-s6-sentno-1218"	"1218"	"mam ki nsm3 3la hadik listwagh t3 krantika , hi alkhrti falkhrti . 7kaia fwtha mashi 9a3 kima hak ."	"The speaker rejects a commonly heard story about the siege of Oran as nonsense and says the story did not happen as it is being told."	"화자는 오랑 포위에 관한 흔히 들리는 이야기를 허튼소리라고 일축하며, 그 이야기가 전해지는 방식대로 일어난 것이 아니라고 말해요."	"B1"	"48"	"history"	"rejecting_a_false_siege_story"	"conversation"	"disagreement"	"colloquial"	"medium"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1219"	"1219"	"ma t7kiha ghaia ghaia . sbniwl kanwa m7asrinhm al3rb fi santa krwz ml9awsh makla l9aw al7ms ."	"The speaker says the story should not be told as an absolute account and claims that the Spanish were surrounded by Arabs at Santa Cruz, ran out of food, and found chickpeas instead."	"화자는 그 이야기를 절대적인 사실처럼 말해서는 안 된다고 하며, 스페인인들이 산타크루스에서 아랍인들에게 포위되어 먹을 것이 떨어지고 병아리콩을 찾았다고 주장해요."	"B2"	"72"	"history"	"correcting_the_santa_cruz_siege_story"	"expository"	"narration"	"mixed"	"high"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1220"	"1220"	"hadik fwtha . sbniwl maknwsh m7asrin fi whran . ki dkhlwa sbniwl ast3mrwha 3ndk shwala ma njmwsh izidwa ist3mrwa mdn wkhdwkhra ma njmwsh i9dmwa hada 7sar . 93dwa 3 9rwn w nta m7asrh w zid ia sidi rak m7asrh . fi dik labriwd kan astwl al3tmani kan mn a9wa asatil fi al3alm . drwk nta fi lard rak t9wl rak m7asrh w 3ndk akbr astwl t3 dwla al3tmania . 3lah m7rrtwsh whran ."	"The speaker argues that the Spanish were not besieged in Oran: they entered and colonized it and remained for three centuries. The speaker questions how Oran could have been liberated if a powerful Ottoman fleet was present and the Spanish were supposedly under siege."	"화자는 스페인인들이 오랑에서 포위된 것이 아니라 들어와 식민화했고 3세기 동안 머물렀다고 주장해요. 강력한 오스만 함대가 있었고 스페인인들이 포위되어 있었다면 어떻게 오랑을 해방하지 못했겠느냐고 반문해요."	"C1"	"94"	"history"	"challenging_the_three_century_siege_claim"	"expository"	"opinion"	"mixed"	"high"	"idiom_culture|long_source|source_ambiguity"	"flagged"
"madoran-s6-sentno-1221"	"1221"	"bwgh tw digh bali aistwagh mashi kima rahm 7akiinha lkm . aitwagh bzaf nas tkdb w talf w mashi hdik hi al79i9a ."	"The speaker says the history being told is not the same as what really happened and accuses many people of lying and inventing accounts."	"화자는 전해지는 역사가 실제 일어난 일과 같지 않으며 많은 사람이 거짓말을 하고 이야기를 지어낸다고 비판해요."	"B1"	"48"	"history"	"criticizing_invented_history"	"conversation"	"opinion"	"colloquial"	"medium"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1222"	"1222"	"whran kain hdra kbira w kain hdra bzaf w shaba alli ki t7ki 3liha t7s bli rak t7ki 3la 7dara w fil kbira ma rksh t7ki 3la dwar w si malwghwa . w ki rani n9wl hak ma rani 9asd walw . rani 9asd bli 9a3 alli sakn fi whran , whrani w istahl bash iskn fi whran w ma 3ndnash brani . w mr7ba btwlmwnd w mr7ba bli jana w jab m3ah w mam ma jabsh m3ah iaba dw brwblam . fif awrwn w asm7wli ana ma ghadish nhdr hdra alli maknsh . ana nhdr lk sha sra , manish n9wlk ghaia w la mashi ghaia bkri ghaia w la mashi ghaia . w ana n9wlk sha kan kain w ant allh ishl 3lik ."	"The speaker presents Oran as a great, beautiful civilization and city rather than a small village, welcomes everyone who lives there or arrives there, and says they will describe what happened without inventing or denying facts."	"화자는 오랑을 작은 마을이 아니라 크고 아름다운 문명과 도시로 소개하고, 그곳에 사는 사람과 찾아온 사람을 모두 환영해요. 없는 말을 만들거나 사실을 부정하지 않고 일어난 일을 말하겠다고 해요."	"C1"	"90"	"culture_tradition"	"welcoming_oran_residents_and_visitors"	"speech"	"narration"	"mixed"	"high"	"idiom_culture|long_source|source_ambiguity"	"flagged"
"madoran-s6-sentno-1223"	"1223"	"khtra jaia ghadi n7kilkm 3la klam frwnsi ghadi thbl bald7k ."	"The speaker says that next time they will tell the listeners about a French expression that will make them laugh intensely."	"화자는 다음에 듣는 사람들을 크게 웃게 할 프랑스어 표현에 대해 이야기하겠다고 해요."	"B1"	"42"	"humor"	"announcing_a_funny_french_expression"	"joke"	"narration"	"colloquial"	"medium"	"code_switching|idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1224"	"1224"	"ma tdasrnish manish 9dk . aldsara twsl llkhsara ."	"The speaker tells someone not to be cheeky because the speaker is not their equal, then warns that cheekiness can lead to trouble or loss."	"화자는 상대에게 자신을 만만하게 보거나 건방지게 굴지 말라고 하며, 건방짐은 손해나 곤란으로 이어질 수 있다고 경고해요."	"B1"	"52"	"humor"	"warning_against_cheekiness"	"conversation"	"warning"	"colloquial"	"high"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1225"	"1225"	"m7md di9wrdi ma tkhafsh 3lih khlih w7dh islk rash ."	"The speaker reassures someone not to worry about Mohamed Degourdi and says to leave him alone so that he can manage himself."	"화자는 무함마드 디구르디를 걱정하지 말고 혼자 두면 스스로 해결할 것이라고 말해요."	"A2"	"26"	"daily_life"	"reassuring_about_mohamed_degourdi"	"conversation"	"answer"	"colloquial"	"medium"	"source_ambiguity"	"draft"
"madoran-s6-sentno-1226"	"1226"	"tjmi3 fdiwhat almd7ka l @@Lat@@t kt k @@Lat@@k mel @@Lat@@f t @@Lat@@dz @@Lat@@a rt 2 - @@Lat@@a t be"	"A corrupted, title-like line appears to announce a compilation of funny videos; the remaining characters are not recoverable as a stable sentence."	"손상된 제목 형태의 줄로, 웃긴 동영상 모음으로 보이지만 남은 문자를 안정적인 문장으로 복원할 수 없어요."	"A1"	"30"	"social_media"	"corrupted_funny_video_compilation_title"	"social_media"	"other"	"mixed"	"high"	"source_ambiguity|source_corruption"	"flagged"
"madoran-s6-sentno-1227"	"1227"	"w ana hada zhr 3ndi ana , nas ikhwnwha almafia allh allh w ana t7t fik nta . tkhwf khwia shwala hada ."	"The speaker jokes that betrayal is their bad luck: other people have the mafia, while the speaker ended up with this person, whom they call frightening."	"화자는 다른 사람들은 마피아에게 배신당하는데 자신은 이 사람을 만난 것이 운이 나빴다고 농담하며, 상대가 무섭다고 말해요."	"B1"	"58"	"humor"	"joking_about_betrayal_and_the_mafia"	"joke"	"opinion"	"colloquial"	"high"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1228"	"1228"	"shwala jib khdmi 3abdin . khdmi sha baghi dir bih khwia . dwk tshwfi sha baghi ndir bih ."	"The speaker asks Abdine to bring or get some work, then asks what he wants to do with it; the object of the request is opaque in the isolated exchange."	"화자는 아브딘에게 어떤 일을 가져오거나 해 오라고 한 뒤, 그걸로 무엇을 하려는지 묻지만 고립된 대화에서는 대상이 불투명해요."	"A2"	"34"	"work"	"opaque_request_about_work"	"conversation"	"question"	"colloquial"	"high"	"source_ambiguity"	"flagged"
"madoran-s6-sentno-1229"	"1229"	"ia mnz39wsh ma t3rfsh z3a9a . s7a khwia ana 3lah khwntwni . bash ntlbwa drahm 3lik . ah s7a hada makan ."	"The speaker tells people not to shout, asks why they were betrayed, and says the reason was to demand money from the listener."	"화자는 사람들에게 소리치지 말라고 하며, 왜 자신을 배신했는지 묻고 상대에게 돈을 요구하려고 그랬다는 답을 말해요."	"B2"	"68"	"crime_safety"	"accusing_someone_of_betrayal_for_money"	"conversation"	"question"	"colloquial"	"high"	"source_ambiguity"	"flagged"
"madoran-s6-sentno-1230"	"1230"	"nta khwia w n9wlk ghir 9t3 lias , sightwa ada 3itt lbaba rah ibni alf ma tshwfhash mnh ."	"The speaker calls the listener a brother and tells him to cut the matter short, warning that if the speaker calls their father, the father will cause a great deal of trouble that the listener will not be able to withstand."	"화자는 상대를 형제라고 부르며 일을 끝내라고 하고, 아버지에게 전화하면 상대가 감당하지 못할 큰일을 벌일 것이라고 경고해요."	"B2"	"64"	"family_relationships"	"threatening_to_call_father"	"conversation"	"warning"	"colloquial"	"high"	"idiom_culture|source_ambiguity"	"flagged"
"madoran-s6-sentno-1231"	"1231"	"w khti shhinaz balk ana ma fal7a fi walw la tiab la tsia9 . hadak nhar ma l9atni nsi9 dar bsrbita t3 alwjh klatni t3rf . sha nzidk nakl bzaf , ndrb ghir mima , nhrs sha n9wlk ."	"The speaker teases their sister Chahinaz for being good at nothing, neither cooking nor cleaning, and recalls her mocking the speaker after finding them cleaning the house with a face-cleaning tissue. The speaker adds that they eat a lot and only bother their mother, with the final joke partly opaque."	"화자는 여동생 샤히나즈가 요리도 청소도 못하고 아무것도 잘하는 게 없다고 놀려요. 얼굴 닦는 티슈로 집을 청소하던 자신을 보고 샤히나즈가 놀렸던 일을 떠올리며, 자신은 많이 먹고 어머니만 건드린다고 농담해요."	"C1"	"86"	"family_relationships"	"teasing_a_sister_about_housework"	"joke"	"narration"	"colloquial"	"high"	"idiom_culture|long_source|source_ambiguity"	"flagged"
"madoran-s6-sentno-1232"	"1232"	"rakm dairin ftwr . raki 7asba rw7k fi ristwrwn . ia haw tkhwnwa 3bad rbi fi w9t ftwr ."	"The speaker asks whether the others are having breakfast and jokes that someone thinks she is in a restaurant, accusing them of bothering God's people during breakfast."	"화자는 일행이 아침을 먹고 있는지 묻고, 누군가 자신을 식당에 있는 줄 아느냐고 농담하며 아침 식사 시간에 사람들을 괴롭힌다고 말해요."	"B1"	"48"	"food"	"teasing_about_breakfast"	"joke"	"question"	"colloquial"	"high"	"idiom_culture|source_ambiguity"	"flagged"
