"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0829"	"A2"	"verbs"	"يفطر"	"يفطر"	"yftr"	"그는 아침 식사를 한다"	"he has breakfast"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6452; sentence 334"	"미완료형; fṭar=아침 식사를 하다"
"OD-0830"	"A2"	"verbs"	"يقرى"	"يقرى"	"y9ra"	"그는 공부한다"	"he studies"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6510; sentence 337"	"미완료형; 형태 태그상 주어=그"
"OD-0831"	"A2"	"abstract"	"قلبه"	"قلبه"	"9lbh"	"그의 마음/심장"	"his heart"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6644; sentence 341"	"소유·전치사 결합 접사=3인칭 남성 단수"
"OD-0832"	"A2"	"general"	"خوتي"	"خوتي"	"khwty"	"내 형제들"	"my brothers / siblings"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6880; sentence 348"	"소유·전치사 결합 접사=1인칭 단수"
"OD-0833"	"A2"	"verbs"	"يرجع"	"يرجع"	"yrj3"	"그는 돌아온다"	"he returns"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6967; sentence 351"	"미완료형; 형태 태그상 주어=그"
"OD-0834"	"A2"	"function"	"علابيها"	"علابيها"	"3labyha"	"that is why"	"that is why"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7120; sentence 355"	"소유·전치사 결합 접사=3인칭 여성 단수"
"OD-0835"	"A2"	"general"	"فحريرة"	"فحريرة"	"f7ryra"	"하리라 수프에"	"in harira soup"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7402; sentence 365"	"전치사 f- + harira; “하리라 수프에/안에서”"
"OD-0836"	"A2"	"verbs"	"تغلي"	"تغلي"	"tghly"	"그녀는 끓는다"	"she/it boils"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7666; sentence 373"	"미완료형; 형태 태그상 주어=그녀"
"OD-0837"	"A2"	"verbs"	"درتي"	"درتي"	"drty"	"너(여성 단수)는 했다"	"you (f.sg.) did"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7907; sentence 383"	"완료형; 형태 태그상 주어=너(여성 단수)"
"OD-0838"	"A2"	"verbs"	"قعدي"	"قعدي"	"93dy"	"계속 있다 (명령)"	"keep (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8112; sentence 390"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0839"	"A2"	"verbs"	"طيبي"	"طيبي"	"tyby"	"cook (명령)"	"cook (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8163; sentence 393"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0840"	"A2"	"verbs"	"قضبي"	"قضبي"	"9dby"	"잡다 (명령)"	"hold (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8223; sentence 395"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0841"	"A2"	"verbs"	"طلعنا"	"طلعنا"	"tl3na"	"우리는 올라갔다"	"we went up"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8389; sentence 401"	"완료형; 형태 태그상 주어=우리"
"OD-0842"	"A2"	"verbs"	"درنا"	"درنا"	"drna"	"우리는 했다"	"we did"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8648; sentence 409"	"완료형; 형태 태그상 주어=우리"
"OD-0843"	"A2"	"general"	"ولدك"	"ولدك"	"wldk"	"네 아이/아들"	"your child / son"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9699; sentence 449"	"소유·전치사 결합 접사=2인칭"
"OD-0844"	"A2"	"general"	"روحو"	"روحو"	"rw7w"	"그 자신"	"himself"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9854; sentence 472"	"소유접사=3인칭 남성 단수; rw7u “그 자신”"
"OD-0845"	"A2"	"verbs"	"يبقى"	"يبقى"	"yb9a"	"그는 남아 있다/지속된다"	"he remains / lasts"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10206; sentence 520"	"미완료형; 형태 태그상 주어=그"
"OD-0846"	"A2"	"verbs"	"طيري"	"طيري"	"tyry"	"go-away ! (명령)"	"go-away ! (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10511; sentence 532"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0847"	"A2"	"verbs"	"نعوم"	"نعوم"	"n3wm"	"나는 swim한다"	"I swim"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10790; sentence 546"	"미완료형; 형태 태그상 주어=나"
"OD-0848"	"A2"	"general"	"وحدك"	"وحدك"	"w7dk"	"alone"	"alone"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10933; sentence 551"	"소유·전치사 결합 접사=2인칭"
