"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0683"	"A2"	"general"	"فقناة"	"فقناة"	"f9naa"	"TV 채널에서"	"on a TV channel"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5571; sentence 284"	"MADOran 표면형; 문맥에 따라 품사·의미 범위가 달라질 수 있음"
"OD-0684"	"A2"	"verbs"	"نعاودو"	"نعاودو"	"n3awdw"	"우리는 다시 한다"	"we do it again"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5767; sentence 298"	"미완료형; 형태 태그상 주어=우리"
"OD-0685"	"A2"	"verbs"	"خاصني"	"خاصني"	"khasny"	"나는 필요하다"	"I need"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6873; sentence 348"	"비동사적 필요 표현 khas-ni; 접사=1인칭 단수; 완료형·여성 주어 분석 아님"
"OD-0686"	"A2"	"verbs"	"نبدو"	"نبدو"	"nbdw"	"우리는 시작한다"	"we start"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7398; sentence 365"	"미완료형; 형태 태그상 주어=우리"
"OD-0687"	"A2"	"verbs"	"تسمعي"	"تسمعي"	"tsm3y"	"너(여성 단수)는 듣는다"	"you (f.sg.) hear / listen"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7756; sentence 377"	"미완료형; 형태 태그상 주어=너(여성 단수)"
"OD-0688"	"A2"	"verbs"	"خليه"	"خليه"	"khlyh"	"떠나다 (명령)"	"leave (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8320; sentence 399"	"명령형; 형태 태그상 주어=너(남성 단수)"
"OD-0689"	"A2"	"verbs"	"يوكلوا"	"يوكلوا"	"ywklwa"	"그들은 먹인다"	"they feed"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8939; sentence 418"	"미완료형; 형태 태그상 주어=그들"
"OD-0690"	"A2"	"verbs"	"ضربني"	"ضربني"	"drbny"	"그가 나를 때렸다"	"he hit me"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9872; sentence 477"	"완료형; 주어=그(3인칭 남성 단수); 목적어 접사=나를"
"OD-0691"	"A2"	"verbs"	"تعومي"	"تعومي"	"t3wmy"	"너(여성 단수)는 수영한다"	"you (f.sg.) swim"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10804; sentence 546"	"미완료형; 형태 태그상 주어=너(여성 단수)"
"OD-0692"	"A2"	"verbs"	"يبغو"	"يبغو"	"ybghw"	"그들은 원한다"	"they want"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 11789; sentence 587"	"미완료형; 형태 태그상 주어=그들"
"OD-0693"	"A2"	"general"	"بالسلامه"	"بالسلامه"	"balslamh"	"무사히; 안녕히"	"safely; goodbye"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12279; sentence 606"	"MADOran 표면형; 문맥에 따라 품사·의미 범위가 달라질 수 있음"
"OD-0694"	"A2"	"verbs"	"يطاوعوا"	"يطاوعوا"	"ytaw3wa"	"그들은 따른다"	"they obey / comply"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12317; sentence 608"	"미완료형; 형태 태그상 주어=그들"
"OD-0695"	"A2"	"verbs"	"ديرلك"	"ديرلك"	"dyrlk"	"그는/그녀는 너를 위해 해 준다"	"he/she does it for you"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12880; sentence 629"	"미완료형/명령형 여부는 원문 형태 태그 재확인 필요; -lek=너에게/너를 위해"
"OD-0696"	"A2"	"general"	"بروحي"	"بروحي"	"brw7y"	"나 혼자; 스스로"	"by myself"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13888; sentence 663"	"소유·전치사 결합 접사=1인칭 단수"
"OD-0697"	"A2"	"verbs"	"ديله"	"ديله"	"dylh"	"그에게 해 줘 (남성 단수에게)"	"do it for him (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14625; sentence 686"	"명령형; 형태 태그상 주어=너(남성 단수); 소유·전치사 결합 접사=3인칭 남성 단수"
"OD-0698"	"A2"	"verbs"	"عطيه"	"عطيه"	"3tyh"	"그에게 줘 (남성 단수에게)"	"give it to him (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14630; sentence 686"	"명령형; 형태 태그상 주어=너(남성 단수)"
"OD-0699"	"A2"	"verbs"	"خبرني"	"خبرني"	"khbrny"	"나를 말해 주다 (명령)"	"tell me (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14754; sentence 691"	"명령형; 형태 태그상 주어=너(남성 단수); 목적어 접사=나를"
"OD-0700"	"A2"	"verbs"	"دخلك"	"دخلك"	"dkhlk"	"네가 무슨 상관이야?"	"what is it to you? / none of your business"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14877; sentence 696"	"고정 표현 dakhlek; 2인칭 소유/관련 접사이며 “네가 무슨 상관이냐” 의미"
"OD-0701"	"A2"	"verbs"	"طيبلك"	"طيبلك"	"tyblk"	"그녀가 너를 위해 요리했다"	"she cooked for you"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16296; sentence 760"	"완료형; 형태 태그상 주어=그녀; 소유·전치사 결합 접사=2인칭"
"OD-0702"	"A2"	"verbs"	"دخلني"	"دخلني"	"dkhlny"	"그가 나를 들여보냈다"	"he let me in"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16575; sentence 772"	"완료형; 주어=그(3인칭 남성 단수); 목적어 접사=나를"
"OD-0703"	"A2"	"general"	"لعمرك"	"لعمرك"	"l3mrk"	"네 평생에; 네 목숨을 걸고"	"in your life; by your life"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 23527; sentence 1083"	"소유·전치사 결합 접사=2인칭"
"OD-0704"	"A2"	"verbs"	"يسموا"	"يسموا"	"ysmwa"	"그들은 부른다"	"they name"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 26388; sentence 1190"	"미완료형; 형태 태그상 주어=그들"
"OD-0705"	"A2"	"verbs"	"يدوروا"	"يدوروا"	"ydwrwa"	"그들은 돌아다닌다/돈다"	"they go around / turn"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 26516; sentence 1197"	"미완료형; 형태 태그상 주어=그들"
"OD-0706"	"A2"	"verbs"	"يخافوا"	"يخافوا"	"ykhafwa"	"그들은 두려워한다"	"they are afraid"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 26613; sentence 1199"	"미완료형; 형태 태그상 주어=그들"
"OD-0707"	"A2"	"verbs"	"يلعبوا"	"يلعبوا"	"yl3bwa"	"그들은 play한다"	"they play"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 28450; sentence 1258"	"미완료형; 형태 태그상 주어=그들"
"OD-0708"	"A2"	"verbs"	"نخطبو"	"نخطبو"	"nkhtbw"	"우리는 청혼한다"	"we propose marriage"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6033; sentence 318"	"미완료형; 형태 태그상 주어=우리"
"OD-0709"	"A2"	"verbs"	"نطيبو"	"نطيبو"	"ntybw"	"우리는 cook한다"	"we cook"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13214; sentence 639"	"미완료형; 형태 태그상 주어=우리"
