"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0877"	"A2"	"verbs"	"يخلف"	"يخلف"	"ykhlf"	"그는 보상한다/뒤를 잇는다"	"he compensates / succeeds"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 24776; sentence 1127"	"미완료형; 형태 태그상 주어=그"
"OD-0878"	"A2"	"verbs"	"يستر"	"يستر"	"ystr"	"그는 가려 준다/보호한다"	"he covers / protects"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 29178; sentence 1289"	"미완료형; 형태 태그상 주어=그"
"OD-0879"	"A2"	"people"	"صحبتك"	"صحبتك"	"s7btk"	"네 여자 친구"	"your female friend"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 29193; sentence 1290"	"소유·전치사 결합 접사=2인칭"
"OD-0880"	"A2"	"verbs"	"نحلك"	"نحلك"	"n7lk"	"나는 open,make way한다"	"I open / make way"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1003; sentence 51"	"미완료형; 형태 태그상 주어=나"
"OD-0881"	"A2"	"verbs"	"نطرطق"	"نطرطق"	"ntrt9"	"나는 burst한다"	"I burst"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2668; sentence 145"	"미완료형; 형태 태그상 주어=나"
"OD-0882"	"A2"	"verbs"	"نسقسي"	"نسقسي"	"ns9sy"	"나는 ask,inquire한다"	"I ask / inquire"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2822; sentence 152"	"미완료형; 형태 태그상 주어=나"
"OD-0883"	"A2"	"verbs"	"يقلع"	"يقلع"	"y9l3"	"그는 출발한다/벗는다"	"he sets off / takes off"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4529; sentence 243"	"미완료형; 형태 태그상 주어=그"
"OD-0884"	"A2"	"abstract"	"بمشروع"	"بمشروع"	"bmchrw3"	"project"	"project"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5430; sentence 279"	"MADOran 표면형; 문맥에 따라 품사·의미 범위가 달라질 수 있음"
"OD-0885"	"A2"	"verbs"	"يقصر"	"يقصر"	"y9sr"	"그는 농담한다"	"he jokes"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6559; sentence 338"	"미완료형; 형태 태그상 주어=그"
"OD-0886"	"A2"	"verbs"	"نجري"	"نجري"	"njry"	"나는 run한다"	"I run"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9096; sentence 422"	"미완료형; 형태 태그상 주어=나"
"OD-0887"	"A2"	"verbs"	"نحكم"	"نحكم"	"n7km"	"나는 잡는다/통제한다"	"I hold / control"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9127; sentence 424"	"미완료형; 형태 태그상 주어=나"
"OD-0888"	"A2"	"verbs"	"بكينا"	"بكينا"	"bkyna"	"우리는 울었다"	"we cried"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10856; sentence 549"	"완료형; 형태 태그상 주어=우리"
"OD-0889"	"A2"	"general"	"بلادي"	"بلادي"	"blady"	"내 나라"	"my country"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12008; sentence 596"	"소유·전치사 결합 접사=1인칭 단수"
"OD-0890"	"A2"	"verbs"	"تتزعبل"	"تتزعبل"	"ttz3bl"	"그녀는 비틀거린다"	"she falters / staggers"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12428; sentence 612"	"미완료형; 형태 태그상 주어=그녀"
"OD-0891"	"A2"	"verbs"	"نخلي"	"نخلي"	"nkhly"	"나는 ~하게 둔다"	"I let / leave"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16121; sentence 754"	"미완료형; 형태 태그상 주어=나"
"OD-0892"	"A2"	"verbs"	"نسيتي"	"نسيتي"	"nsyty"	"너(여성 단수)는 잊었다"	"you (f.sg.) forgot"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 17411; sentence 804"	"완료형; 형태 태그상 주어=너(여성 단수)"
"OD-0893"	"A2"	"verbs"	"ندبر"	"ندبر"	"ndbr"	"나는 처리한다/마련한다"	"I manage / arrange"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 18310; sentence 848"	"미완료형; 형태 태그상 주어=나"
"OD-0894"	"A2"	"general"	"بوالو"	"بوالو"	"bwalw"	"아무것도 없음"	"nothing"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 18485; sentence 855"	"MADOran 표면형; 문맥에 따라 품사·의미 범위가 달라질 수 있음"
"OD-0895"	"A2"	"verbs"	"نشاور"	"نشاور"	"nchawr"	"나는 상의한다"	"I consult"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 21162; sentence 973"	"미완료형; 형태 태그상 주어=나"
"OD-0896"	"A2"	"verbs"	"نشعل"	"نشعل"	"nch3l"	"나는 불을 붙인다"	"I ignite / turn on"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 21255; sentence 978"	"미완료형; 형태 태그상 주어=나"
"OD-0897"	"A2"	"verbs"	"تحزن"	"تحزن"	"t7zn"	"그녀는 슬퍼한다"	"she grieves / is sad"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 29448; sentence 1301"	"미완료형; 형태 태그상 주어=그녀"
"OD-0898"	"A2"	"verbs"	"رحت"	"رحت"	"r7t"	"나는 갔다"	"I went"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 368; sentence 23"	"완료형; 형태 태그상 주어=나"
"OD-0899"	"A2"	"general"	"وحدها"	"وحدها"	"w7dha"	"혼자; 오직"	"alone,only"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 207; sentence 13"	"소유·전치사 결합 접사=3인칭 여성 단수"
"OD-0900"	"A2"	"verbs"	"لقيت"	"لقيت"	"l9yt"	"나는/너는 찾았다"	"I/you found"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 3938; sentence 218"	"완료형 -t; 1인칭 단수 또는 2인칭 단수로 문맥 중의적, 3인칭 남성 아님"
"OD-0901"	"A2"	"function"	"بيكم"	"بيكم"	"bykm"	"너희와; 너희에게"	"with you"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7344; sentence 363"	"소유·전치사 결합 접사=2인칭 복수"
"OD-0902"	"A2"	"general"	"بوك"	"بوك"	"bwk"	"네 아버지"	"your father"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10756; sentence 544"	"소유·전치사 결합 접사=2인칭"
"OD-0903"	"A2"	"verbs"	"خرجت"	"خرجت"	"khrjt"	"나는 나갔다"	"I went out"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 719; sentence 39"	"완료형; 형태 태그상 주어=나"
"OD-0904"	"A2"	"verbs"	"طلع"	"طلع"	"tl3"	"그는 올라갔다"	"he went up"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1915; sentence 90"	"완료형; 형태 태그상 주어=그"
"OD-0905"	"A2"	"verbs"	"تلقى"	"تلقى"	"tl9a"	"너는/그녀는 찾는다"	"you/she find(s)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9392; sentence 431"	"미완료형 t-; 2인칭 남성 단수 또는 3인칭 여성 단수로 중의적"
"OD-0906"	"A2"	"verbs"	"بلع"	"بلع"	"bl3"	"입을 다물다 (명령)"	"shut your mouth (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12993; sentence 633"	"명령형; 형태 태그상 주어=너(남성 단수)"
"OD-0907"	"A2"	"verbs"	"تفضل"	"تفضل"	"tfdl"	"들어오다 (명령)"	"come in (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13172; sentence 637"	"명령형; 형태 태그상 주어=너(남성 단수)"
"OD-0908"	"A2"	"verbs"	"ولي"	"ولي"	"wly"	"돌아오다 (명령)"	"return (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4900; sentence 258"	"명령형; 형태 태그상 주어=너(남성 단수)"
