id	cefr	topic	arabic	source_form	latin	ko	en	kind	marker_type	oran_marker	evidence	status	source_id	source_locator	note
OD-0193	A1	family	مرا	مرا	mra	여자; 아내	woman; wife	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 245; sentence 16	문맥에 따라 여자 또는 아내
OD-0194	A1	people	صاحب	صاحب	sa7eb	친구	friend	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 29688; sentence 1312	
OD-0195	A1	family	ولاد	ولاد	wlad	아이들; 자녀	children	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 5039; sentence 264	복수형
OD-0196	A1	family	فاميليا	فاميليا	familia	가족	family	word	loanword	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 294; sentence 19	차용어
OD-0197	A1	clothing	قش	قش	qech	옷	clothes	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 13295; sentence 642	
OD-0198	A1	clothing	قمجة	قمجة	qamja	셔츠	shirt	word	loanword	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 14593; sentence 685	
OD-0199	A1	clothing	صباطي	صباطي	sbati	신발	shoes	word	loanword	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 20173; sentence 918	코퍼스 gloss는 복수 Shoes
OD-0200	A1	colors	بيض	بيض	byed	흰색의	white	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 22983; sentence 1064	
OD-0201	A1	colors	كحلة	كحلة	k7la	검은색의(여성형)	black (feminine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 8403; sentence 401	MADOran feminine singular suffix
OD-0202	A1	colors	خضرة	خضرة	khdra	초록색의(여성형)	green (feminine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 7501; sentence 368	MADOran feminine singular suffix
OD-0203	A1	colors	زرقة	زرقة	zerqa	파란색의(여성형)	blue (feminine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 9124; sentence 424	MADOran feminine singular suffix
OD-0204	A1	colors	صفرا	صفرا	safra	노란색의(여성형)	yellow (feminine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 11843; sentence 589	여성 단수형
OD-0205	A1	food	ماء	ماء	ma	물	water	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 7953; sentence 384	
OD-0206	A1	food	حليب	حليب	7lib	우유	milk	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 64; sentence 5	
OD-0207	A1	food	لحم	لحم	l7em	고기	meat	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 7372; sentence 364	
OD-0208	A1	food	ماكلة	ماكلة	makla	음식	food	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 7410; sentence 365	
OD-0209	A1	food	لاتاي	لاتاي	latay	차	tea	word	loanword	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 8638; sentence 409	정관사가 어휘화된 차용형
